sample_id,ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,organic_matter_percent,ec,drainage_class,texture_class,area_dekar,slope_percent,irrigation_type,water_source,elevation_meters,variety,previous_crop,first_hemp_season,avg_temp,seasonal_rainfall_mm,avg_humidity,avg_solar_radiation,rotation_n_credit,rec_nitrogen_kg_dekar,rec_phosphorus_kg_dekar,rec_potassium_kg_dekar,rec_irrigation_mm_week,expected_yield_ton_dekar,suitable
28,5.18,77.4,11.7,227.8,4.44,1.13,poor,loam,159.1,12.4,sprinkler,well,461.2,other,fallow,0,8.9,294.1,49.1,22.0,1.0,0.0,0.448,0.0,17.299,0.103,0
29,5.59,22.5,16.3,92.8,2.46,0.65,poor,loam,479.7,13.3,flood,rain,154.3,other,sunflower,0,33.5,400.2,59.7,11.1,0.5,0.0,0.0,0.0,13.169,0.119,0
30,5.27,77.5,38.9,186.5,6.23,4.0,good,silty clay loam,43.3,16.8,none,rain,1009.4,narli,fallow,0,30.0,634.5,58.5,15.7,1.0,0.0,0.0,0.0,0.0,0.206,0
31,6.2,64.4,9.4,79.4,2.39,0.55,excellent,silty clay loam,498.5,0.5,none,rain,78.5,other,sunflower,0,21.5,371.0,37.6,13.7,0.5,0.0,1.394,0.0,0.0,0.587,1
32,5.09,56.0,37.6,216.2,2.71,0.15,excellent,sandy loam,150.3,18.6,drip,rain,1042.8,other,cereal,0,27.3,404.4,48.7,21.7,0.0,0.0,0.0,0.0,7.896,0.291,0
33,7.64,71.2,18.2,233.8,3.28,3.74,good,sandy loam,184.0,6.9,none,river,502.3,vezir,sunflower,1,28.6,338.6,81.6,22.2,0.5,0.0,0.0,0.0,0.0,0.531,1
34,6.23,35.7,25.5,261.0,3.1,3.95,moderate,clay loam,579.6,3.2,flood,well,964.1,vezir,legume,0,20.3,511.2,55.5,19.2,3.0,0.0,0.0,0.0,5.949,0.488,1
35,7.56,70.4,39.8,143.6,2.74,2.9,excellent,silty clay loam,40.8,2.0,flood,river,826.5,vezir,legume,0,27.0,200.3,43.3,14.2,3.0,0.0,0.0,0.0,29.662,0.59,1
36,6.29,30.9,23.2,210.0,1.99,0.78,excellent,silty clay loam,416.2,11.2,sprinkler,river,518.0,vezir,hemp,1,8.3,552.3,80.1,19.5,-1.0,0.0,0.0,0.0,2.545,0.327,1
37,5.75,69.9,15.4,144.6,3.66,1.03,good,silty clay loam,191.6,15.5,drip,rain,316.4,other,other,0,34.3,605.3,72.3,21.7,0.0,0.0,0.0,0.0,0.0,0.199,0
38,5.66,27.4,17.3,226.2,5.22,2.76,moderate,sandy loam,544.0,14.4,flood,rain,56.0,vezir,other,1,32.6,313.4,55.8,12.8,0.0,0.0,0.0,0.0,21.263,0.186,0
39,7.74,76.4,43.8,124.9,5.79,3.24,excellent,sandy loam,101.6,21.3,none,municipal,117.5,vezir,legume,1,11.3,334.3,72.5,13.7,3.0,0.0,0.0,0.0,0.0,0.28,0
40,6.41,55.3,42.9,132.2,4.36,2.63,excellent,silt loam,396.6,3.0,drip,well,348.7,vezir,legume,1,32.0,217.8,57.7,19.4,3.0,0.0,0.0,0.0,17.201,0.438,1
41,5.3,46.8,23.1,269.3,1.18,1.55,excellent,clay loam,571.3,18.9,drip,municipal,608.0,other,sunflower,1,15.4,634.1,82.5,21.5,0.5,0.0,0.0,0.0,0.0,0.222,0
42,5.15,36.7,44.6,233.1,2.13,3.34,moderate,silty clay loam,145.3,19.2,flood,river,871.7,other,legume,1,34.6,643.8,62.0,21.2,3.0,0.0,0.0,0.0,0.0,0.085,0
43,5.05,32.2,12.7,152.6,1.63,0.35,excellent,silt loam,317.7,2.8,sprinkler,well,805.4,other,fallow,1,25.4,165.6,84.9,21.9,1.0,0.0,0.045,0.0,20.355,0.378,1
44,7.7,35.9,13.5,87.8,4.43,2.38,good,clay loam,596.9,11.9,none,rain,127.1,other,legume,0,25.6,534.5,71.0,13.0,3.0,0.0,0.0,0.0,0.0,0.393,1
45,6.28,58.2,21.8,93.6,6.08,0.36,poor,sandy loam,270.5,16.5,flood,river,620.9,other,fallow,0,26.1,355.4,78.7,23.2,1.0,0.0,0.0,0.0,17.98,0.231,0
46,5.94,21.7,26.8,94.0,3.65,3.4,good,silty clay loam,233.2,16.9,sprinkler,rain,932.8,other,fallow,0,23.0,454.5,67.9,19.7,1.0,0.0,0.0,0.0,5.422,0.372,1
47,5.43,57.7,10.6,223.0,6.34,0.46,moderate,clay loam,263.5,7.8,flood,municipal,799.3,other,fallow,1,9.4,228.7,65.9,19.4,1.0,0.0,0.852,0.0,22.592,0.266,0
48,5.82,64.1,12.2,154.6,2.56,2.75,excellent,silty clay loam,406.9,1.5,none,well,28.3,vezir,cereal,0,28.6,294.7,41.0,17.0,0.0,0.0,0.246,0.0,0.0,0.465,1
49,6.06,40.8,35.5,156.0,3.53,0.4,good,silty clay loam,269.0,9.2,none,municipal,144.4,narli,sunflower,1,33.6,380.0,69.5,15.1,0.5,0.0,0.0,0.0,0.0,0.321,1
50,5.24,71.6,35.6,108.7,5.29,0.4,poor,silty clay loam,315.8,20.0,flood,municipal,805.6,other,cereal,1,12.0,248.6,65.1,20.6,0.0,0.0,0.0,0.0,21.191,0.123,0
51,6.35,75.1,28.9,199.8,4.43,3.47,good,loam,275.1,10.6,flood,municipal,658.7,vezir,fallow,1,20.5,168.8,53.4,14.0,1.0,0.0,0.0,0.0,32.729,0.633,1
52,6.15,52.7,43.3,222.6,1.23,3.65,moderate,silt loam,370.9,11.3,drip,rain,131.8,vezir,other,1,25.4,169.6,70.4,23.9,0.0,0.0,0.0,0.0,20.96,0.38,1
53,7.04,18.4,31.3,133.6,2.81,2.28,excellent,silt loam,166.2,18.8,sprinkler,municipal,108.0,other,cereal,0,16.4,478.0,68.1,11.8,0.0,0.0,0.0,0.0,5.08,0.36,1
54,5.99,23.3,34.0,268.4,6.48,3.66,poor,clay loam,314.9,0.9,flood,river,1047.3,vezir,hemp,1,35.0,227.5,49.8,21.0,-1.0,0.0,0.0,0.0,22.3,0.112,0
55,6.85,53.8,13.7,99.8,4.81,2.54,moderate,clay loam,45.3,8.3,sprinkler,rain,679.4,other,hemp,1,14.5,632.8,74.2,22.7,-1.0,0.0,0.0,0.0,0.0,0.447,1
56,7.31,65.6,26.6,152.1,1.89,0.88,moderate,silt loam,50.3,10.8,flood,well,788.3,other,legume,1,28.6,286.4,80.3,12.1,3.0,0.0,0.0,0.0,23.688,0.341,1
57,5.16,47.6,16.7,278.8,3.06,0.21,poor,silt loam,479.0,3.5,flood,rain,771.8,narli,other,0,24.6,602.9,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.244,0
58,7.33,30.4,12.5,112.5,4.51,2.53,poor,sandy loam,505.3,11.2,drip,river,796.0,vezir,hemp,1,17.5,435.3,44.4,19.4,-1.0,0.0,0.124,0.0,6.614,0.29,0
59,5.06,71.8,9.6,145.1,3.05,3.01,good,sandy loam,220.0,16.3,drip,municipal,164.1,vezir,fallow,1,25.4,565.2,69.2,23.7,1.0,0.0,1.193,0.0,1.602,0.333,0
60,7.83,17.4,15.5,234.0,5.87,1.33,good,silty clay loam,251.0,18.0,none,municipal,59.6,other,cereal,1,31.3,173.9,67.8,13.8,0.0,0.0,0.0,0.0,0.0,0.202,0
61,5.56,60.0,21.6,235.4,2.47,0.42,excellent,sandy loam,269.8,21.9,sprinkler,municipal,366.9,narli,sunflower,0,16.3,451.3,56.3,19.7,0.5,0.0,0.0,0.0,7.605,0.334,1
62,7.99,32.8,44.3,268.5,1.41,2.59,good,silty clay loam,484.6,15.1,drip,river,936.6,other,hemp,1,9.8,539.3,53.3,15.4,-1.0,0.0,0.0,0.0,1.973,0.184,0
63,6.72,49.4,22.7,202.9,2.37,0.54,moderate,clay loam,320.3,20.1,drip,municipal,857.0,other,hemp,1,24.5,497.0,84.9,12.8,-1.0,0.0,0.0,0.0,4.609,0.346,0
64,7.99,67.7,43.8,277.0,4.67,2.87,good,silt loam,513.8,15.8,sprinkler,municipal,569.5,narli,cereal,0,14.4,397.0,53.0,18.0,0.0,0.0,0.0,0.0,11.235,0.353,1
65,7.15,46.1,23.2,150.1,4.16,0.59,good,sandy loam,281.0,15.1,flood,river,968.2,other,other,0,28.7,214.5,60.1,22.2,0.0,0.0,0.0,0.0,25.763,0.389,1
66,7.8,29.7,43.1,174.2,2.56,0.41,moderate,silty clay loam,179.2,13.9,drip,river,659.2,other,cereal,1,24.9,601.0,51.9,22.9,0.0,0.0,0.0,0.0,0.0,0.29,0
67,5.63,52.2,30.9,66.7,5.89,2.23,good,clay loam,162.0,17.9,none,municipal,509.8,other,legume,1,19.2,382.2,52.0,12.0,3.0,0.0,0.0,0.0,0.0,0.322,1
68,6.2,64.4,27.1,83.4,2.33,0.58,excellent,loam,101.7,1.6,none,rain,288.1,narli,sunflower,0,27.5,244.9,43.0,23.9,0.5,0.0,0.0,0.0,0.0,0.616,1
69,5.72,52.9,9.8,121.9,4.29,3.39,excellent,silt loam,331.3,18.7,none,river,973.1,other,sunflower,0,17.9,350.3,63.5,12.7,0.5,0.0,1.143,0.0,0.0,0.349,1
70,5.84,79.3,33.2,86.1,6.36,1.64,good,silty clay loam,564.6,16.7,sprinkler,rain,560.1,narli,legume,1,17.0,386.9,57.8,18.5,3.0,0.0,0.0,0.0,9.847,0.503,1
71,5.9,36.9,38.6,177.1,4.9,1.27,poor,silt loam,212.1,2.9,none,municipal,880.5,other,other,0,24.1,282.8,67.8,23.6,0.0,0.0,0.0,0.0,0.0,0.342,1
72,6.57,61.9,36.7,143.6,5.52,1.04,poor,loam,31.0,7.2,sprinkler,rain,765.7,vezir,fallow,0,32.9,586.4,71.8,10.9,1.0,0.0,0.0,0.0,0.74,0.169,0
73,5.52,74.3,20.7,137.9,5.25,2.91,good,silty clay loam,300.8,21.1,flood,municipal,262.9,vezir,sunflower,0,26.6,394.5,59.0,17.8,0.5,0.0,0.0,0.0,13.581,0.374,1
74,6.63,73.2,22.6,135.9,5.25,0.67,poor,silt loam,574.1,2.2,none,municipal,827.1,narli,cereal,0,15.3,431.0,48.6,11.5,0.0,0.0,0.0,0.0,0.0,0.38,1
75,5.3,36.5,25.5,209.9,1.76,3.86,moderate,clay loam,398.7,19.4,none,rain,722.6,vezir,sunflower,1,9.6,534.4,67.6,13.3,0.5,0.0,0.0,0.0,0.0,0.169,0
76,6.25,69.4,42.6,68.0,5.6,3.17,moderate,silt loam,528.5,0.7,drip,municipal,327.3,other,fallow,0,32.0,217.1,60.2,13.8,1.0,0.0,0.0,0.0,13.664,0.295,0
77,6.01,34.2,33.0,102.5,4.36,2.59,excellent,clay loam,318.9,2.4,drip,river,1080.2,vezir,sunflower,0,8.2,341.8,57.3,13.7,0.5,0.0,0.0,0.0,10.007,0.387,1
78,6.08,30.4,32.7,162.4,1.88,2.78,good,sandy loam,390.5,20.7,flood,river,256.7,narli,hemp,1,28.2,452.9,55.8,17.7,-1.0,0.0,0.0,0.0,9.426,0.371,1
79,7.62,20.3,24.5,214.8,1.43,2.3,poor,silty clay loam,543.7,4.8,sprinkler,river,374.4,other,hemp,1,13.5,441.6,39.5,17.1,-1.0,2.521,0.0,0.0,6.777,0.249,0
80,5.17,45.1,37.9,219.1,3.18,3.28,moderate,silty clay loam,62.4,9.6,drip,well,1029.3,narli,hemp,1,19.0,534.5,73.3,23.7,-1.0,0.0,0.0,0.0,2.717,0.427,1
81,6.13,59.4,32.5,178.6,4.59,1.46,moderate,silty clay loam,248.0,3.2,sprinkler,well,836.7,vezir,hemp,0,22.7,416.0,76.2,13.5,-1.0,0.0,0.0,0.0,10.159,0.482,1
82,5.34,67.6,23.5,228.5,5.86,0.16,moderate,sandy loam,78.5,1.2,drip,river,819.8,vezir,hemp,1,13.9,581.9,37.8,17.1,-1.0,0.0,0.0,0.0,0.689,0.319,1
83,5.96,34.6,13.3,205.2,2.22,1.27,poor,silty clay loam,570.1,19.4,sprinkler,rain,620.3,narli,sunflower,0,26.1,542.9,50.9,15.8,0.5,0.0,0.0,0.0,2.754,0.192,0
84,7.55,34.5,34.2,237.3,6.03,2.29,excellent,silty clay loam,327.4,8.9,flood,river,376.7,narli,hemp,0,10.5,512.3,44.5,13.8,-1.0,0.0,0.0,0.0,5.704,0.427,1
85,6.68,46.2,40.2,133.3,6.26,0.16,moderate,sandy loam,453.2,16.7,sprinkler,river,448.4,narli,fallow,1,15.6,383.1,67.4,14.3,1.0,0.0,0.0,0.0,8.591,0.372,1
86,7.17,64.5,19.8,104.7,2.72,0.28,moderate,loam,29.4,12.4,none,municipal,184.6,vezir,cereal,1,30.5,399.7,67.7,19.6,0.0,0.0,0.0,0.0,0.0,0.271,0
87,7.38,26.0,34.7,167.4,6.04,2.21,poor,silty clay loam,39.6,18.7,drip,well,465.4,other,cereal,1,12.1,259.4,57.8,10.8,0.0,0.0,0.0,0.0,15.969,0.135,0
88,5.05,49.6,23.2,63.7,4.97,2.19,good,sandy loam,311.3,15.5,none,river,135.6,narli,fallow,1,13.2,413.2,75.8,13.7,1.0,0.0,0.0,0.0,0.0,0.309,0
89,7.05,70.1,32.2,248.8,5.18,0.46,excellent,clay loam,340.6,1.7,drip,river,109.3,vezir,other,0,23.3,579.0,39.8,17.4,0.0,0.0,0.0,0.0,0.999,0.548,1
90,6.43,18.0,10.8,263.6,5.95,2.3,poor,loam,558.7,7.3,sprinkler,river,832.4,other,hemp,0,16.1,432.0,63.3,21.9,-1.0,0.0,0.717,0.0,8.961,0.355,1
91,5.24,63.5,20.8,81.5,2.28,0.4,excellent,silt loam,37.2,6.4,none,rain,266.4,other,hemp,0,26.4,480.3,39.3,18.7,-1.0,0.0,0.0,0.0,0.0,0.492,1
92,7.14,56.2,35.4,129.7,1.59,0.12,good,clay loam,228.8,6.3,sprinkler,well,222.4,vezir,fallow,0,19.0,163.1,52.7,11.3,1.0,0.0,0.0,0.0,22.157,0.599,1
93,7.7,73.8,44.2,185.8,1.93,1.58,moderate,silt loam,194.7,11.1,drip,river,489.5,vezir,sunflower,0,10.1,275.8,47.3,18.8,0.5,0.0,0.0,0.0,14.409,0.27,0
94,7.85,36.6,30.9,236.9,2.81,1.41,moderate,silt loam,206.0,20.9,sprinkler,rain,359.3,vezir,sunflower,1,26.8,395.5,63.8,13.4,0.5,0.0,0.0,0.0,10.133,0.198,0
95,6.64,59.3,28.4,269.7,3.54,2.86,excellent,silt loam,502.1,2.0,none,rain,170.3,vezir,cereal,1,12.2,361.6,53.8,16.3,0.0,0.0,0.0,0.0,0.0,0.535,1
96,7.61,42.2,9.4,273.1,4.86,3.27,poor,sandy loam,466.0,14.6,flood,river,718.8,narli,fallow,0,26.3,349.8,72.6,23.5,1.0,0.0,1.341,0.0,19.096,0.19,0
97,6.73,44.0,22.5,229.9,4.24,2.05,good,sandy loam,300.0,6.9,drip,well,917.8,other,cereal,1,17.3,542.1,61.1,14.9,0.0,0.0,0.0,0.0,2.327,0.626,1
98,5.13,61.2,8.8,135.5,1.6,3.22,moderate,silty clay loam,121.2,3.9,none,rain,270.4,vezir,other,1,25.3,366.1,36.5,18.6,0.0,0.0,1.727,0.0,0.0,0.382,1
99,7.43,19.1,11.8,251.8,2.03,1.37,excellent,sandy loam,172.2,19.0,flood,rain,680.2,other,legume,1,30.8,458.7,75.7,19.9,3.0,0.0,0.385,0.0,10.079,0.244,0
100,5.35,34.8,14.8,212.6,3.81,1.73,moderate,silty clay loam,242.6,4.5,sprinkler,river,548.8,narli,cereal,1,20.2,176.8,53.0,10.1,0.0,0.0,0.0,0.0,19.802,0.345,1
101,6.25,69.6,26.1,78.2,1.17,3.07,good,sandy loam,179.4,12.1,sprinkler,rain,630.9,vezir,fallow,0,23.5,283.9,62.2,23.9,1.0,0.0,0.0,0.0,15.3,0.473,1
102,5.66,42.6,35.2,203.8,2.36,3.51,poor,clay loam,172.4,19.0,drip,rain,954.5,narli,cereal,1,27.9,494.6,78.1,18.5,0.0,0.0,0.0,0.0,3.606,0.194,0
103,6.6,53.8,14.2,275.4,2.61,2.33,poor,loam,578.4,17.4,drip,municipal,956.4,narli,other,0,14.7,505.7,76.4,20.7,0.0,0.0,0.0,0.0,3.654,0.22,0
104,6.24,44.4,31.4,253.6,1.51,2.11,good,silt loam,283.7,11.0,drip,well,809.4,vezir,other,0,17.7,181.7,61.7,13.0,0.0,0.0,0.0,0.0,20.679,0.525,1
105,6.7,46.5,20.7,210.2,1.27,0.49,excellent,sandy loam,92.1,18.9,none,rain,20.7,vezir,cereal,0,32.6,591.1,50.1,22.2,0.0,0.0,0.0,0.0,0.0,0.235,0
106,6.99,57.2,9.9,197.6,4.99,3.05,excellent,sandy loam,428.1,0.5,none,well,163.3,narli,fallow,0,8.3,497.8,75.9,23.8,1.0,0.0,1.162,0.0,0.0,0.426,1
107,5.94,72.3,13.1,230.2,5.14,0.62,moderate,sandy loam,327.7,0.7,sprinkler,rain,399.3,narli,other,0,32.8,458.0,57.1,13.0,0.0,0.0,0.0,0.0,7.617,0.325,0
108,6.05,42.9,37.3,114.5,4.55,1.07,good,sandy loam,511.8,14.7,flood,river,579.2,other,cereal,0,16.0,177.3,79.9,23.4,0.0,0.0,0.0,0.0,28.831,0.305,1
109,7.96,75.7,12.9,249.4,4.13,1.53,moderate,clay loam,573.6,17.1,drip,well,34.9,narli,legume,0,33.6,349.0,49.3,20.0,3.0,0.0,0.0,0.0,9.236,0.128,0
110,6.61,24.9,11.1,77.4,6.07,3.9,moderate,silty clay loam,209.5,13.1,drip,municipal,774.6,other,cereal,1,10.3,367.2,57.7,18.5,0.0,0.0,0.753,0.0,9.212,0.269,0
111,5.49,76.9,27.4,232.3,4.96,0.75,moderate,silt loam,445.1,3.0,drip,municipal,891.7,vezir,fallow,1,27.2,438.3,38.9,16.4,1.0,0.0,0.0,0.0,6.149,0.401,1
112,5.77,21.7,29.2,219.0,2.26,2.08,poor,sandy loam,161.8,10.6,none,river,213.3,narli,fallow,0,27.3,477.9,46.2,13.5,1.0,0.0,0.0,0.0,0.0,0.341,1
113,5.16,29.5,27.1,70.1,3.21,3.52,good,silt loam,209.8,12.4,drip,municipal,236.7,other,sunflower,0,14.5,334.1,83.6,24.0,0.5,0.0,0.0,0.0,9.188,0.327,1
114,5.45,75.6,8.9,179.1,4.5,2.8,poor,silt loam,20.8,14.6,flood,well,241.6,narli,hemp,0,9.6,648.5,70.6,11.3,-1.0,0.0,1.405,0.0,0.0,0.117,0
115,5.25,21.2,12.9,240.4,1.41,2.31,excellent,loam,157.3,6.1,flood,rain,776.8,other,sunflower,1,15.3,187.3,45.1,20.9,0.5,0.476,0.0,0.0,29.754,0.533,1
116,6.22,49.8,43.7,105.7,2.7,1.13,poor,sandy loam,111.4,15.3,drip,river,922.8,vezir,cereal,1,14.7,327.9,60.7,19.5,0.0,0.0,0.0,0.0,11.561,0.201,0
117,5.75,45.0,37.7,90.8,1.07,3.34,moderate,loam,134.9,9.1,drip,municipal,1010.8,narli,legume,0,13.3,473.0,75.5,11.3,3.0,0.0,0.0,0.0,6.199,0.513,1
118,5.15,75.1,24.0,219.4,3.73,1.59,excellent,loam,225.3,20.0,flood,municipal,501.7,narli,legume,0,24.7,473.6,59.9,22.4,3.0,0.0,0.0,0.0,9.221,0.262,1
119,5.75,79.6,28.1,64.3,3.1,2.88,excellent,silty clay loam,473.2,7.9,flood,rain,312.1,narli,sunflower,0,8.8,555.3,49.0,21.3,0.5,0.0,0.0,0.0,2.856,0.393,1
120,5.48,31.1,16.9,177.4,5.35,2.97,moderate,silty clay loam,511.0,17.6,flood,river,210.2,other,sunflower,0,26.8,607.0,36.4,19.8,0.5,0.0,0.0,0.0,0.0,0.31,0
121,6.48,35.1,26.1,79.9,2.28,0.95,excellent,sandy loam,212.4,13.7,sprinkler,municipal,794.3,vezir,legume,1,23.8,608.6,73.7,21.9,3.0,0.0,0.0,0.0,0.0,0.634,1
122,6.19,21.6,19.2,90.0,1.87,3.8,excellent,silt loam,121.0,21.3,flood,river,738.8,narli,hemp,1,26.6,213.7,71.4,23.3,-1.0,0.899,0.0,0.0,26.094,0.499,1
123,7.76,77.9,16.2,184.4,6.15,0.65,poor,loam,221.1,7.4,drip,municipal,502.4,vezir,cereal,1,9.8,278.3,40.4,10.0,0.0,0.0,0.0,0.0,16.137,0.181,0
124,6.48,39.6,28.2,82.3,3.64,3.47,moderate,loam,281.7,17.7,drip,municipal,41.7,vezir,legume,1,12.6,337.7,71.6,17.7,3.0,0.0,0.0,0.0,10.09,0.264,0
125,7.83,25.7,40.9,94.6,1.56,0.9,moderate,clay loam,424.4,16.0,flood,municipal,341.2,narli,legume,1,22.8,395.5,37.7,10.1,3.0,0.0,0.0,0.0,12.816,0.252,0
126,5.29,28.5,31.6,275.0,3.6,0.55,excellent,clay loam,303.7,14.7,drip,rain,219.7,vezir,sunflower,1,9.2,369.9,48.2,21.7,0.5,0.0,0.0,0.0,9.179,0.219,0
127,6.24,64.2,16.4,73.4,3.13,2.14,excellent,silty clay loam,531.4,10.7,drip,rain,995.0,other,legume,0,32.3,550.2,68.9,18.7,3.0,0.0,0.0,0.0,2.354,0.435,1
128,7.92,67.5,12.7,153.1,6.44,1.8,moderate,silty clay loam,169.6,20.1,drip,well,439.1,vezir,fallow,1,15.5,379.1,78.7,21.0,1.0,0.0,0.044,0.0,9.665,0.247,0
129,7.28,76.1,42.2,183.8,1.56,1.22,good,clay loam,173.2,14.6,none,well,206.0,vezir,cereal,0,26.4,350.9,54.8,22.3,0.0,0.0,0.0,0.0,0.0,0.445,1
